r_p,wavelength,abs_sigma
4e-008,3e-007,1.30352e-015
4e-008,3.06122e-007,1.28359e-015
4e-008,3.12245e-007,1.63036e-015
4e-008,3.18367e-007,1.90047e-015
4e-008,3.2449e-007,1.66886e-015
4e-008,3.30612e-007,1.92057e-015
4e-008,3.36735e-007,2.22822e-015
4e-008,3.42857e-007,2.41036e-015
4e-008,3.4898e-007,2.0647e-015
4e-008,3.55102e-007,2.18356e-015
4e-008,3.61224e-007,2.70735e-015
4e-008,3.67347e-007,2.45076e-015
4e-008,3.73469e-007,2.9083e-015
4e-008,3.79592e-007,2.95875e-015
4e-008,3.85714e-007,3.00722e-015
4e-008,3.91837e-007,3.71053e-015
4e-008,3.97959e-007,3.34197e-015
4e-008,4.04082e-007,3.72597e-015
4e-008,4.10204e-007,3.91118e-015
4e-008,4.16327e-007,4.27163e-015
4e-008,4.22449e-007,4.72278e-015
4e-008,4.28571e-007,5.04765e-015
4e-008,4.34694e-007,4.59268e-015
4e-008,4.40816e-007,5.54458e-015
4e-008,4.46939e-007,6.07831e-015
4e-008,4.53061e-007,6.13091e-015
4e-008,4.59184e-007,5.72866e-015
4e-008,4.65306e-007,5.87777e-015
4e-008,4.71429e-007,6.60952e-015
4e-008,4.77551e-007,7.0854e-015
4e-008,4.83673e-007,7.06607e-015
4e-008,4.89796e-007,7.47398e-015
4e-008,4.95918e-007,7.58504e-015
4e-008,5.02041e-007,7.82228e-015
4e-008,5.08163e-007,8.23568e-015
4e-008,5.14286e-007,8.79639e-015
4e-008,5.20408e-007,8.87679e-015
4e-008,5.26531e-007,9.78104e-015
4e-008,5.32653e-007,9.43673e-015
4e-008,5.38776e-007,9.48411e-015
4e-008,5.44898e-007,1.02812e-014
4e-008,5.5102e-007,9.90375e-015
4e-008,5.57143e-007,1.05995e-014
4e-008,5.63265e-007,1.05636e-014
4e-008,5.69388e-007,1.06286e-014
4e-008,5.7551e-007,1.17685e-014
4e-008,5.81633e-007,1.17069e-014
4e-008,5.87755e-007,1.12486e-014
4e-008,5.93878e-007,1.17311e-014
4e-008,6e-007,1.20319e-014
4.08163e-008,3e-007,2.02976e-015
4.08163e-008,3.06122e-007,1.89622e-015
4.08163e-008,3.12245e-007,2.54869e-015
4.08163e-008,3.18367e-007,3.06672e-015
4.08163e-008,3.2449e-007,2.54365e-015
4.08163e-008,3.30612e-007,2.92063e-015
4.08163e-008,3.36735e-007,3.26646e-015
4.08163e-008,3.42857e-007,3.74899e-015
4.08163e-008,3.4898e-007,3.11292e-015
4.08163e-008,3.55102e-007,3.27518e-015
4.08163e-008,3.61224e-007,4.16212e-015
4.08163e-008,3.67347e-007,3.65081e-015
4.08163e-008,3.73469e-007,4.41765e-015
4.08163e-008,3.79592e-007,4.47436e-015
4.08163e-008,3.85714e-007,4.56285e-015
4.08163e-008,3.91837e-007,5.65575e-015
4.08163e-008,3.97959e-007,5.04534e-015
4.08163e-008,4.04082e-007,5.52855e-015
4.08163e-008,4.10204e-007,5.91081e-015
4.08163e-008,4.16327e-007,6.48014e-015
4.08163e-008,4.22449e-007,7.12728e-015
4.08163e-008,4.28571e-007,7.73819e-015
4.08163e-008,4.34694e-007,6.77885e-015
4.08163e-008,4.40816e-007,8.45071e-015
4.08163e-008,4.46939e-007,9.34045e-015
4.08163e-008,4.53061e-007,9.19318e-015
4.08163e-008,4.59184e-007,8.50533e-015
4.08163e-008,4.65306e-007,8.69048e-015
4.08163e-008,4.71429e-007,9.92879e-015
4.08163e-008,4.77551e-007,1.05185e-014
4.08163e-008,4.83673e-007,1.0259e-014
4.08163e-008,4.89796e-007,1.09312e-014
4.08163e-008,4.95918e-007,1.09353e-014
4.08163e-008,5.02041e-007,1.12434e-014
4.08163e-008,5.08163e-007,1.17714e-014
4.08163e-008,5.14286e-007,1.26396e-014
4.08163e-008,5.20408e-007,1.26744e-014
4.08163e-008,5.26531e-007,1.39581e-014
4.08163e-008,5.32653e-007,1.34223e-014
4.08163e-008,5.38776e-007,1.33092e-014
4.08163e-008,5.44898e-007,1.43487e-014
4.08163e-008,5.5102e-007,1.35644e-014
4.08163e-008,5.57143e-007,1.47076e-014
4.08163e-008,5.63265e-007,1.4393e-014
