r_p,wavelength,scat_sigma
4e-008,3e-007,1.26031e-015
4e-008,3.06122e-007,1.39752e-015
4e-008,3.12245e-007,1.73444e-015
4e-008,3.18367e-007,1.90137e-015
4e-008,3.2449e-007,2.11207e-015
4e-008,3.30612e-007,2.45004e-015
4e-008,3.36735e-007,2.5687e-015
4e-008,3.42857e-007,3.37852e-015
4e-008,3.4898e-007,3.27164e-015
4e-008,3.55102e-007,3.55584e-015
4e-008,3.61224e-007,4.48133e-015
4e-008,3.67347e-007,4.63861e-015
4e-008,3.73469e-007,5.46589e-015
4e-008,3.79592e-007,5.83323e-015
4e-008,3.85714e-007,6.16341e-015
4e-008,3.91837e-007,7.49049e-015
4e-008,3.97959e-007,7.81283e-015
4e-008,4.04082e-007,8.8954e-015
4e-008,4.10204e-007,9.82707e-015
4e-008,4.16327e-007,1.09852e-014
4e-008,4.22449e-007,1.21065e-014
4e-008,4.28571e-007,1.35318e-014
4e-008,4.34694e-007,1.35509e-014
4e-008,4.40816e-007,1.60577e-014
4e-008,4.46939e-007,1.78358e-014
4e-008,4.53061e-007,1.92487e-014
4e-008,4.59184e-007,1.97699e-014
4e-008,4.65306e-007,2.09824e-014
4e-008,4.71429e-007,2.38577e-014
4e-008,4.77551e-007,2.61086e-014
4e-008,4.83673e-007,2.79541e-014
4e-008,4.89796e-007,2.98221e-014
4e-008,4.95918e-007,3.21779e-014
4e-008,5.02041e-007,3.3761e-014
4e-008,5.08163e-007,3.66001e-014
4e-008,5.14286e-007,3.91941e-014
4e-008,5.20408e-007,4.2632e-014
4e-008,5.26531e-007,4.58534e-014
4e-008,5.32653e-007,4.79831e-014
4e-008,5.38776e-007,4.93295e-014
4e-008,5.44898e-007,5.30547e-014
4e-008,5.5102e-007,5.51434e-014
4e-008,5.57143e-007,5.94859e-014
4e-008,5.63265e-007,6.14899e-014
4e-008,5.69388e-007,6.4802e-014
4e-008,5.7551e-007,6.86428e-014
4e-008,5.81633e-007,7.1513e-014
4e-008,5.87755e-007,7.31851e-014
4e-008,5.93878e-007,7.70889e-014
4e-008,6e-007,7.96804e-014
4.08163e-008,3e-007,1.54093e-015
4.08163e-008,3.06122e-007,1.6743e-015
4.08163e-008,3.12245e-007,2.11799e-015
4.08163e-008,3.18367e-007,2.30219e-015
4.08163e-008,3.2449e-007,2.55643e-015
4.08163e-008,3.30612e-007,2.97859e-015
4.08163e-008,3.36735e-007,2.98239e-015
4.08163e-008,3.42857e-007,4.13089e-015
4.08163e-008,3.4898e-007,3.95569e-015
4.08163e-008,3.55102e-007,4.30574e-015
4.08163e-008,3.61224e-007,5.4698e-015
4.08163e-008,3.67347e-007,5.60749e-015
4.08163e-008,3.73469e-007,6.62746e-015
4.08163e-008,3.79592e-007,7.04904e-015
4.08163e-008,3.85714e-007,7.44744e-015
4.08163e-008,3.91837e-007,9.1029e-015
4.08163e-008,3.97959e-007,9.4319e-015
4.08163e-008,4.04082e-007,1.07482e-014
4.08163e-008,4.10204e-007,1.18582e-014
4.08163e-008,4.16327e-007,1.32365e-014
4.08163e-008,4.22449e-007,1.45624e-014
4.08163e-008,4.28571e-007,1.61879e-014
4.08163e-008,4.34694e-007,1.61939e-014
4.08163e-008,4.40816e-007,1.9127e-014
4.08163e-008,4.46939e-007,2.10565e-014
4.08163e-008,4.53061e-007,2.28877e-014
4.08163e-008,4.59184e-007,2.34015e-014
4.08163e-008,4.65306e-007,2.47924e-014
4.08163e-008,4.71429e-007,2.80647e-014
