r_p,wavelength,abs_sigma
1e-08,1e-06,3.56952e-19
1e-08,9.87805e-07,4.22621e-19
1e-08,9.75904e-07,5.20763e-19
1e-08,9.64286e-07,6.30936e-19
1e-08,9.52941e-07,7.30637e-19
1e-08,9.4186e-07,8.00791e-19
1e-08,9.31034e-07,8.30304e-19
1e-08,9.20455e-07,8.1863e-19
1e-08,9.10112e-07,7.75768e-19
1e-08,9e-07,7.19763e-19
1e-08,8.9011e-07,6.72324e-19
1e-08,8.80435e-07,6.53634e-19
1e-08,8.70968e-07,6.77572e-19
1e-08,8.61702e-07,7.48485e-19
1e-08,8.52632e-07,8.60236e-19
1e-08,8.4375e-07,9.97746e-19
1e-08,8.35052e-07,1.14066e-18
1e-08,8.26531e-07,1.26828e-18
1e-08,8.18182e-07,1.36459e-18
1e-08,8.1e-07,1.42224e-18
1e-08,8.0198e-07,1.44449e-18
1e-08,7.94118e-07,1.4447e-18
1e-08,7.86408e-07,1.4434e-18
1e-08,7.78846e-07,1.46354e-18
1e-08,7.71429e-07,1.52503e-18
1e-08,7.64151e-07,1.63975e-18
1e-08,7.57009e-07,1.80815e-18
1e-08,7.5e-07,2.01837e-18
1e-08,7.43119e-07,2.24796e-18
1e-08,7.36364e-07,2.4682e-18
1e-08,7.2973e-07,2.64994e-18
1e-08,7.23214e-07,2.76998e-18
1e-08,7.16814e-07,2.81657e-18
1e-08,7.10526e-07,2.79289e-18
1e-08,7.04348e-07,2.71781e-18
1e-08,6.98276e-07,2.6236e-18
1e-08,6.92308e-07,2.55113e-18
1e-08,6.86441e-07,2.54333e-18
1e-08,6.80672e-07,2.63826e-18
1e-08,6.75e-07,2.86312e-18
1e-08,6.69421e-07,3.23043e-18
1e-08,6.63934e-07,3.73707e-18
1e-08,6.58537e-07,4.36652e-18
1e-08,6.53226e-07,5.09362e-18
1e-08,6.48e-07,5.89128e-18
1e-08,6.42857e-07,6.73744e-18
1e-08,6.37795e-07,7.62116e-18
1e-08,6.32813e-07,8.54656e-18
1e-08,6.27907e-07,9.53372e-18
1e-08,6.23077e-07,1.06165e-17
1e-08,6.18321e-07,1.18378e-17
1e-08,6.13636e-07,1.32428e-17
1e-08,6.09023e-07,1.48722e-17
1e-08,6.04478e-07,1.67569e-17
1e-08,6e-07,1.89146e-17
1e-08,5.95588e-07,2.13502e-17
1e-08,5.91241e-07,2.40601e-17
1e-08,5.86957e-07,2.70388e-17
1e-08,5.82734e-07,3.0288e-17
1e-08,5.78571e-07,3.38256e-17
1e-08,5.74468e-07,3.76928e-17
1e-08,5.70423e-07,4.19578e-17
1e-08,5.66434e-07,4.67138e-17
1e-08,5.625e-07,5.2072e-17
1e-08,5.58621e-07,5.81479e-17
1e-08,5.54795e-07,6.50446e-17
1e-08,5.5102e-07,7.28321e-17
1e-08,5.47297e-07,8.15278e-17
1e-08,5.43624e-07,9.10792e-17
1e-08,5.4e-07,1.01353e-16
1e-08,5.36424e-07,1.12132e-16
1e-08,5.32895e-07,1.23121e-16
1e-08,5.29412e-07,1.33959e-16
