r_p,wavelength,scat_sigma
1e-08,1e-06,1.65965e-20
1e-08,9.87805e-07,1.76252e-20
1e-08,9.75904e-07,1.86756e-20
1e-08,9.64286e-07,1.9731e-20
1e-08,9.52941e-07,2.07847e-20
1e-08,9.4186e-07,2.18431e-20
1e-08,9.31034e-07,2.29236e-20
1e-08,9.20455e-07,2.40518e-20
1e-08,9.10112e-07,2.52553e-20
1e-08,9e-07,2.65575e-20
1e-08,8.9011e-07,2.79726e-20
1e-08,8.80435e-07,2.95027e-20
1e-08,8.70968e-07,3.11376e-20
1e-08,8.61702e-07,3.28577e-20
1e-08,8.52632e-07,3.46399e-20
1e-08,8.4375e-07,3.64636e-20
1e-08,8.35052e-07,3.83165e-20
1e-08,8.26531e-07,4.01995e-20
1e-08,8.18182e-07,4.21271e-20
1e-08,8.1e-07,4.41255e-20
1e-08,8.0198e-07,4.6228e-20
1e-08,7.94118e-07,4.84673e-20
1e-08,7.86408e-07,5.08694e-20
1e-08,7.78846e-07,5.3447e-20
1e-08,7.71429e-07,5.61972e-20
1e-08,7.64151e-07,5.91022e-20
1e-08,7.57009e-07,6.21337e-20
1e-08,7.5e-07,6.52605e-20
1e-08,7.43119e-07,6.84576e-20
1e-08,7.36364e-07,7.17143e-20
1e-08,7.2973e-07,7.50406e-20
1e-08,7.23214e-07,7.84694e-20
1e-08,7.16814e-07,8.20541e-20
1e-08,7.10526e-07,8.58623e-20
1e-08,7.04348e-07,8.99656e-20
1e-08,6.98276e-07,9.44286e-20
1e-08,6.92308e-07,9.92989e-20
1e-08,6.86441e-07,1.04599e-19
1e-08,6.80672e-07,1.10326e-19
1e-08,6.75e-07,1.16453e-19
1e-08,6.69421e-07,1.22936e-19
1e-08,6.63934e-07,1.2973e-19
1e-08,6.58537e-07,1.36798e-19
1e-08,6.53226e-07,1.44128e-19
1e-08,6.48e-07,1.51735e-19
1e-08,6.42857e-07,1.59671e-19
1e-08,6.37795e-07,1.68016e-19
1e-08,6.32813e-07,1.76872e-19
1e-08,6.27907e-07,1.86344e-19
1e-08,6.23077e-07,1.96531e-19
1e-08,6.18321e-07,2.07507e-19
1e-08,6.13636e-07,2.19314e-19
1e-08,6.09023e-07,2.31958e-19
1e-08,6.04478e-07,2.45414e-19
1e-08,6e-07,2.59644e-19
1e-08,5.95588e-07,2.7461e-19
1e-08,5.91241e-07,2.903e-19
1e-08,5.86957e-07,3.06742e-19
1e-08,5.82734e-07,3.24018e-19
1e-08,5.78571e-07,3.42263e-19
1e-08,5.74468e-07,3.61652e-19
1e-08,5.70423e-07,3.8237e-19
1e-08,5.66434e-07,4.04574e-19
1e-08,5.625e-07,4.28346e-19
1e-08,5.58621e-07,4.53638e-19
1e-08,5.54795e-07,4.8023e-19
1e-08,5.5102e-07,5.07696e-19
1e-08,5.47297e-07,5.35393e-19
1e-08,5.43624e-07,5.6247e-19
1e-08,5.4e-07,5.87908e-19
1e-08,5.36424e-07,6.1058e-19
1e-08,5.32895e-07,6.29337e-19
1e-08,5.29412e-07,6.43104e-19
1e-08,5.25974e-07,6.5098e-19
1e-08,5.22581e-07,6.52333e-19
1e-08,5.19231e-07,6.46874e-19
1e-08,5.15924e-07,6.34706e-19
1e-08,5.12658e-07,6.1634e-19
1e-08,5.09434e-07,5.92671e-19
1e-08,5.0625e-07,5.64922e-19
1e-08,5.03106e-07,5.34554e-19
1e-08,5e-07,5.03157e-19
1e-08,4.96933e-07,4.72324e-19
1e-08,4.93902e-07,4.43536e-19
1e-08,4.90909e-07,4.18044e-19
1e-08,4.87952e-07,3.96793e-19
1e-08,4.8503e-07,3.80366e-19
1e-08,4.82143e-07,3.68968e-19
1e-08,4.7929e-07,3.62448e-19
1e-08,4.76471e-07,3.60351e-19
1e-08,4.73684e-07,3.61999e-19
1e-08,4.7093e-07,3.66585e-19
1e-08,4.68208e-07,3.73272e-19
1e-08,4.65517e-07,3.81285e-19
1e-08,4.62857e-07,3.89985e-19
1e-08,4.60227e-07,3.98917e-19
1e-08,4.57627e-07,4.07832e-19
1e-08,4.55056e-07,4.16677e-19
1e-08,4.52514e-07,4.2556e-19
1e-08,4.5e-07,4.34697e-19
1.07071e-08,1e-06,2.49856e-20
1.07071e-08,9.87805e-07,2.64418e-20
1.07071e-08,9.75904e-07,2.82003e-20
1.07071e-08,9.64286e-07,3.02017e-20
1.07071e-08,9.52941e-07,3.23468e-20
1.07071e-08,9.4186e-07,3.45225e-20
1.07071e-08,9.31034e-07,3.66307e-20
1.07071e-08,9.20455e-07,3.86125e-20
1.07071e-08,9.10112e-07,4.04625e-20
1.07071e-08,9e-07,4.22299e-20
1.07071e-08,8.9011e-07,4.40066e-20
1.07071e-08,8.80435e-07,4.59048e-20
1.07071e-08,8.70968e-07,4.80312e-20
1.07071e-08,8.61702e-07,5.04618e-20
1.07071e-08,8.52632e-07,5.32256e-20
1.07071e-08,8.4375e-07,5.62988e-20
1.07071e-08,8.35052e-07,5.96123e-20
1.07071e-08,8.26531e-07,6.307e-20
1.07071e-08,8.18182e-07,6.65733e-20
1.07071e-08,8.1e-07,7.00463e-20
1.07071e-08,8.0198e-07,7.3455e-20
1.07071e-08,7.94118e-07,7.6818e-20
1.07071e-08,7.86408e-07,8.02028e-20
1.07071e-08,7.78846e-07,8.37125e-20
1.07071e-08,7.71429e-07,8.74625e-20
1.07071e-08,7.64151e-07,9.1555e-20
1.07071e-08,7.57009e-07,9.6056e-20
1.07071e-08,7.5e-07,1.00981e-19
1.07071e-08,7.43119e-07,1.06294e-19
1.07071e-08,7.36364e-07,1.11914e-19
1.07071e-08,7.2973e-07,1.17743e-19
1.07071e-08,7.23214e-07,1.2369e-19
1.07071e-08,7.16814e-07,1.29697e-19
1.07071e-08,7.10526e-07,1.35767e-19
1.07071e-08,7.04348e-07,1.4197e-19
1.07071e-08,6.98276e-07,1.48436e-19
1.07071e-08,6.92308e-07,1.55343e-19
1.07071e-08,6.86441e-07,1.62881e-19
1.07071e-08,6.80672e-07,1.71219e-19
1.07071e-08,6.75e-07,1.80474e-19
1.07071e-08,6.69421e-07,1.90681e-19
1.07071e-08,6.63934e-07,2.01792e-19
1.07071e-08,6.58537e-07,2.13681e-19
1.07071e-08,6.53226e-07,2.26174e-19
1.07071e-08,6.48e-07,2.39086e-19
1.07071e-08,6.42857e-07,2.52276e-19
1.07071e-08,6.37795e-07,2.65684e-19
1.07071e-08,6.32813e-07,2.79369e-19
1.07071e-08,6.27907e-07,2.93522e-19
1.07071e-08,6.23077e-07,3.0846e-19
1.07071e-08,6.18321e-07,3.24588e-19
1.07071e-08,6.13636e-07,3.42353e-19
1.07071e-08,6.09023e-07,3.62174e-19
1.07071e-08,6.04478e-07,3.84379e-19
1.07071e-08,6e-07,4.0914e-19
1.07071e-08,5.95588e-07,4.36436e-19
1.07071e-08,5.91241e-07,4.66035e-19
1.07071e-08,5.86957e-07,4.97507e-19
1.07071e-08,5.82734e-07,5.30261e-19
1.07071e-08,5.78571e-07,5.6361e-19
1.07071e-08,5.74468e-07,5.9684e-19
1.07071e-08,5.70423e-07,6.29286e-19
1.07071e-08,5.66434e-07,6.60394e-19
1.07071e-08,5.625e-07,6.89763e-19
1.07071e-08,5.58621e-07,7.17161e-19
1.07071e-08,5.54795e-07,7.42506e-19
1.07071e-08,5.5102e-07,7.65828e-19
1.07071e-08,5.47297e-07,7.87203e-19
1.07071e-08,5.43624e-07,8.06682e-19
1.07071e-08,5.4e-07,8.24222e-19
1.07071e-08,5.36424e-07,8.39637e-19
1.07071e-08,5.32895e-07,8.52566e-19
1.07071e-08,5.29412e-07,8.62485e-19
1.07071e-08,5.25974e-07,8.68749e-19
1.07071e-08,5.22581e-07,8.70662e-19
1.07071e-08,5.19231e-07,8.67576e-19
1.07071e-08,5.15924e-07,8.58996e-19
1.07071e-08,5.12658e-07,8.44686e-19
1.07071e-08,5.09434e-07,8.24745e-19
1.07071e-08,5.0625e-07,7.99662e-19
1.07071e-08,5.03106e-07,7.70322e-19
1.07071e-08,5e-07,7.37972e-19
1.07071e-08,4.96933e-07,7.04137e-19
1.07071e-08,4.93902e-07,6.70505e-19
1.07071e-08,4.90909e-07,6.38788e-19
1.07071e-08,4.87952e-07,6.10574e-19
1.07071e-08,4.8503e-07,5.8719e-19
1.07071e-08,4.82143e-07,5.69592e-19
1.07071e-08,4.7929e-07,5.58292e-19
1.07071e-08,4.76471e-07,5.53335e-19
1.07071e-08,4.73684e-07,5.54325e-19
1.07071e-08,4.7093e-07,5.60495e-19
1.07071e-08,4.68208e-07,5.70816e-19
1.07071e-08,4.65517e-07,5.84131e-19
1.07071e-08,4.62857e-07,5.9929e-19
1.07071e-08,4.60227e-07,6.15274e-19
1.07071e-08,4.57627e-07,6.31299e-19
1.07071e-08,4.55056e-07,6.46875e-19
1.07071e-08,4.52514e-07,6.61826e-19
1.07071e-08,4.5e-07,6.76265e-19
1.14141e-08,1e-06,3.57599e-20
1.14141e-08,9.87805e-07,3.75891e-20
1.14141e-08,9.75904e-07,3.95935e-20
1.14141e-08,9.64286e-07,4.18105e-20
1.14141e-08,9.52941e-07,4.42465e-20
1.14141e-08,9.4186e-07,4.6876e-20
1.14141e-08,9.31034e-07,4.96507e-20
1.14141e-08,9.20455e-07,5.25138e-20
1.14141e-08,9.10112e-07,5.54169e-20
1.14141e-08,9e-07,5.83354e-20
1.14141e-08,8.9011e-07,6.12759e-20
1.14141e-08,8.80435e-07,6.4277e-20
1.14141e-08,8.70968e-07,6.73999e-20
1.14141e-08,8.61702e-07,7.07144e-20
1.14141e-08,8.52632e-07,7.42811e-20
1.14141e-08,8.4375e-07,7.81373e-20
1.14141e-08,8.35052e-07,8.2288e-20
1.14141e-08,8.26531e-07,8.67061e-20
1.14141e-08,8.18182e-07,9.13412e-20
1.14141e-08,8.1e-07,9.61345e-20
1.14141e-08,8.0198e-07,1.01037e-19
1.14141e-08,7.94118e-07,1.06023e-19
1.14141e-08,7.86408e-07,1.11105e-19
1.14141e-08,7.78846e-07,1.16329e-19
1.14141e-08,7.71429e-07,1.21766e-19
1.14141e-08,7.64151e-07,1.27501e-19
1.14141e-08,7.57009e-07,1.33608e-19
1.14141e-08,7.5e-07,1.40138e-19
1.14141e-08,7.43119e-07,1.47104e-19
1.14141e-08,7.36364e-07,1.54481e-19
1.14141e-08,7.2973e-07,1.62221e-19
1.14141e-08,7.23214e-07,1.70263e-19
1.14141e-08,7.16814e-07,1.78565e-19
1.14141e-08,7.10526e-07,1.87125e-19
1.14141e-08,7.04348e-07,1.95993e-19
1.14141e-08,6.98276e-07,2.05279e-19
1.14141e-08,6.92308e-07,2.15143e-19
1.14141e-08,6.86441e-07,2.25768e-19
1.14141e-08,6.80672e-07,2.3733e-19
1.14141e-08,6.75e-07,2.49965e-19
1.14141e-08,6.69421e-07,2.63737e-19
1.14141e-08,6.63934e-07,2.78626e-19
1.14141e-08,6.58537e-07,2.94528e-19
1.14141e-08,6.53226e-07,3.11283e-19
1.14141e-08,6.48e-07,3.28711e-19
1.14141e-08,6.42857e-07,3.46665e-19
1.14141e-08,6.37795e-07,3.65084e-19
1.14141e-08,6.32813e-07,3.84036e-19
1.14141e-08,6.27907e-07,4.03736e-19
1.14141e-08,6.23077e-07,4.24549e-19
1.14141e-08,6.18321e-07,4.46951e-19
1.14141e-08,6.13636e-07,4.71469e-19
1.14141e-08,6.09023e-07,4.98608e-19
1.14141e-08,6.04478e-07,5.28763e-19
1.14141e-08,6e-07,5.62149e-19
1.14141e-08,5.95588e-07,5.98742e-19
1.14141e-08,5.91241e-07,6.38264e-19
1.14141e-08,5.86957e-07,6.80196e-19
1.14141e-08,5.82734e-07,7.23829e-19
1.14141e-08,5.78571e-07,7.68349e-19
1.14141e-08,5.74468e-07,8.1293e-19
1.14141e-08,5.70423e-07,8.56829e-19
1.14141e-08,5.66434e-07,8.99467e-19
1.14141e-08,5.625e-07,9.4047e-19
1.14141e-08,5.58621e-07,9.79676e-19
1.14141e-08,5.54795e-07,1.01709e-18
1.14141e-08,5.5102e-07,1.05282e-18
1.14141e-08,5.47297e-07,1.08693e-18
1.14141e-08,5.43624e-07,1.1194e-18
1.14141e-08,5.4e-07,1.14994e-18
1.14141e-08,5.36424e-07,1.178e-18
1.14141e-08,5.32895e-07,1.20268e-18
1.14141e-08,5.29412e-07,1.22283e-18
1.14141e-08,5.25974e-07,1.2371e-18
1.14141e-08,5.22581e-07,1.24411e-18
1.14141e-08,5.19231e-07,1.24264e-18
1.14141e-08,5.15924e-07,1.2318e-18
1.14141e-08,5.12658e-07,1.2112e-18
1.14141e-08,5.09434e-07,1.1811e-18
1.14141e-08,5.0625e-07,1.14243e-18
1.14141e-08,5.03106e-07,1.09684e-18
1.14141e-08,5e-07,1.04656e-18
1.14141e-08,4.96933e-07,9.94224e-19
1.14141e-08,4.93902e-07,9.42682e-19
1.14141e-08,4.90909e-07,8.94723e-19
1.14141e-08,4.87952e-07,8.52824e-19
1.14141e-08,4.8503e-07,8.18933e-19
1.14141e-08,4.82143e-07,7.94306e-19
1.14141e-08,4.7929e-07,7.79423e-19
1.14141e-08,4.76471e-07,7.73996e-19
1.14141e-08,4.73684e-07,7.77056e-19
1.14141e-08,4.7093e-07,7.87126e-19
1.14141e-08,4.68208e-07,8.0243e-19
1.14141e-08,4.65517e-07,8.21132e-19
1.14141e-08,4.62857e-07,8.41558e-19
1.14141e-08,4.60227e-07,8.62387e-19
1.14141e-08,4.57627e-07,8.82766e-19
1.14141e-08,4.55056e-07,9.0236e-19
1.14141e-08,4.52514e-07,9.21314e-19
1.14141e-08,4.5e-07,9.40153e-19
1.21212e-08,1e-06,5.36013e-20
1.21212e-08,9.87805e-07,5.63299e-20
1.21212e-08,9.75904e-07,5.89851e-20
1.21212e-08,9.64286e-07,6.17238e-20
1.21212e-08,9.52941e-07,6.47173e-20
1.21212e-08,9.4186e-07,6.81039e-20
1.21212e-08,9.31034e-07,7.19513e-20
1.21212e-08,9.20455e-07,7.62419e-20
1.21212e-08,9.10112e-07,8.08822e-20
1.21212e-08,9e-07,8.57339e-20
1.21212e-08,8.9011e-07,9.06568e-20
1.21212e-08,8.80435e-07,9.55512e-20
1.21212e-08,8.70968e-07,1.00388e-19
1.21212e-08,8.61702e-07,1.05217e-19
1.21212e-08,8.52632e-07,1.10155e-19
1.21212e-08,8.4375e-07,1.15356e-19
1.21212e-08,8.35052e-07,1.20966e-19
1.21212e-08,8.26531e-07,1.2709e-19
1.21212e-08,8.18182e-07,1.33764e-19
1.21212e-08,8.1e-07,1.40951e-19
1.21212e-08,8.0198e-07,1.48554e-19
1.21212e-08,7.94118e-07,1.56449e-19
1.21212e-08,7.86408e-07,1.64523e-19
1.21212e-08,7.78846e-07,1.72708e-19
1.21212e-08,7.71429e-07,1.80999e-19
1.21212e-08,7.64151e-07,1.89467e-19
1.21212e-08,7.57009e-07,1.98231e-19
1.21212e-08,7.5e-07,2.0744e-19
