r_p,wavelength,abs_sigma
1e-08,4.5e-07,1.45332e-16
1e-08,4.55556e-07,1.43946e-16
1e-08,4.61111e-07,1.44818e-16
1e-08,4.66667e-07,1.47063e-16
1e-08,4.72222e-07,1.49812e-16
1e-08,4.77778e-07,1.53695e-16
1e-08,4.83333e-07,1.60463e-16
1e-08,4.88889e-07,1.71197e-16
1e-08,4.94444e-07,1.84931e-16
1e-08,5e-07,1.98977e-16
1e-08,5.05556e-07,2.10713e-16
1e-08,5.11111e-07,2.19389e-16
1e-08,5.16667e-07,2.26639e-16
1e-08,5.22222e-07,2.35394e-16
1e-08,5.27778e-07,2.47957e-16
1e-08,5.33333e-07,2.64432e-16
1e-08,5.38889e-07,2.82317e-16
1e-08,5.44444e-07,2.97367e-16
1e-08,5.5e-07,3.05174e-16
1e-08,5.55556e-07,3.02682e-16
1e-08,5.61111e-07,2.89057e-16
1e-08,5.66667e-07,2.65696e-16
1e-08,5.72222e-07,2.35566e-16
1e-08,5.77778e-07,2.02246e-16
1e-08,5.83333e-07,1.69046e-16
1e-08,5.88889e-07,1.38441e-16
1e-08,5.94444e-07,1.1188e-16
1e-08,6e-07,8.98763e-17
1e-08,6.05556e-07,7.22718e-17
1e-08,6.11111e-07,5.85167e-17
1e-08,6.16667e-07,4.79056e-17
1e-08,6.22222e-07,3.97293e-17
1e-08,6.27778e-07,3.33564e-17
1e-08,6.33333e-07,2.82672e-17
1e-08,6.38889e-07,2.40633e-17
1e-08,6.44444e-07,2.04662e-17
1e-08,6.5e-07,1.73096e-17
1e-08,6.55556e-07,1.45225e-17
1e-08,6.61111e-07,1.21043e-17
1e-08,6.66667e-07,1.00924e-17
1e-08,6.72222e-07,8.52761e-18
1e-08,6.77778e-07,7.42661e-18
1e-08,6.83333e-07,6.76386e-18
1e-08,6.88889e-07,6.46863e-18
1e-08,6.94444e-07,6.43468e-18
1e-08,7e-07,6.53894e-18
1e-08,7.05556e-07,6.6634e-18
1e-08,7.11111e-07,6.71438e-18
1e-08,7.16667e-07,6.63488e-18
1e-08,7.22222e-07,6.40832e-18
1e-08,7.27778e-07,6.05374e-18
1e-08,7.33333e-07,5.61499e-18
1e-08,7.38889e-07,5.14696e-18
1e-08,7.44444e-07,4.70225e-18
1e-08,7.5e-07,4.32079e-18
1e-08,7.55556e-07,4.02399e-18
1e-08,7.61111e-07,3.81371e-18
1e-08,7.66667e-07,3.67533e-18
1e-08,7.72222e-07,3.58356e-18
1e-08,7.77778e-07,3.50929e-18
1e-08,7.83333e-07,3.42606e-18
1e-08,7.88889e-07,3.31485e-18
1e-08,7.94444e-07,3.16672e-18
1e-08,8e-07,2.98309e-18
1e-08,8.05556e-07,2.77409e-18
1e-08,8.11111e-07,2.55555e-18
1e-08,8.16667e-07,2.34537e-18
1e-08,8.22222e-07,2.16008e-18
1e-08,8.27778e-07,2.01204e-18
1e-08,8.33333e-07,1.90774e-18
1e-08,8.38889e-07,1.8472e-18
1e-08,8.44444e-07,1.82458e-18
1e-08,8.5e-07,1.82948e-18
1e-08,8.55556e-07,1.84892e-18
1e-08,8.61111e-07,1.86936e-18
1e-08,8.66667e-07,1.87867e-18
1e-08,8.72222e-07,1.86759e-18
1e-08,8.77778e-07,1.83075e-18
