r_p,wavelength,scat_sigma
4e-08,6.5e-07,6.90557e-16
4e-08,6.47095e-07,7.13883e-16
4e-08,6.44216e-07,7.38218e-16
4e-08,6.41362e-07,7.63328e-16
4e-08,6.38534e-07,7.89009e-16
4e-08,6.3573e-07,8.15145e-16
4e-08,6.32951e-07,8.41755e-16
4e-08,6.30196e-07,8.69006e-16
4e-08,6.27465e-07,8.97201e-16
4e-08,6.24757e-07,9.26738e-16
4e-08,6.22073e-07,9.58051e-16
4e-08,6.19412e-07,9.91532e-16
4e-08,6.16773e-07,1.02747e-15
4e-08,6.14157e-07,1.06601e-15
4e-08,6.11563e-07,1.10712e-15
4e-08,6.08991e-07,1.15064e-15
4e-08,6.0644e-07,1.1963e-15
4e-08,6.0391e-07,1.24383e-15
4e-08,6.01402e-07,1.29306e-15
4e-08,5.98914e-07,1.34396e-15
4e-08,5.96447e-07,1.39674e-15
4e-08,5.94e-07,1.45182e-15
4e-08,5.91573e-07,1.50986e-15
4e-08,5.89166e-07,1.57161e-15
4e-08,5.86778e-07,1.63781e-15
4e-08,5.8441e-07,1.70905e-15
4e-08,5.8206e-07,1.78558e-15
4e-08,5.7973e-07,1.86725e-15
4e-08,5.77418e-07,1.95335e-15
4e-08,5.75124e-07,2.0427e-15
4e-08,5.72849e-07,2.13363e-15
4e-08,5.70591e-07,2.22417e-15
4e-08,5.68351e-07,2.31226e-15
4e-08,5.66129e-07,2.39591e-15
4e-08,5.63924e-07,2.47353e-15
4e-08,5.61736e-07,2.54402e-15
4e-08,5.59565e-07,2.60696e-15
4e-08,5.57411e-07,2.66264e-15
4e-08,5.55273e-07,2.712e-15
4e-08,5.53152e-07,2.75644e-15
4e-08,5.51047e-07,2.79764e-15
4e-08,5.48957e-07,2.83723e-15
4e-08,5.46884e-07,2.87655e-15
4e-08,5.44826e-07,2.91634e-15
4e-08,5.42784e-07,2.95657e-15
4e-08,5.40756e-07,2.99633e-15
4e-08,5.38744e-07,3.0339e-15
4e-08,5.36747e-07,3.0668e-15
4e-08,5.34765e-07,3.0921e-15
4e-08,5.32797e-07,3.10669e-15
4e-08,5.30843e-07,3.10766e-15
4e-08,5.28904e-07,3.0926e-15
4e-08,5.26979e-07,3.05992e-15
4e-08,5.25068e-07,3.00904e-15
4e-08,5.23171e-07,2.94049e-15
4e-08,5.21287e-07,2.85591e-15
4e-08,5.19417e-07,2.75787e-15
4e-08,5.1756e-07,2.6497e-15
4e-08,5.15717e-07,2.53512e-15
4e-08,5.13886e-07,2.41802e-15
4e-08,5.12069e-07,2.30206e-15
4e-08,5.10264e-07,2.19045e-15
4e-08,5.08472e-07,2.08578e-15
4e-08,5.06693e-07,1.98985e-15
4e-08,5.04926e-07,1.90374e-15
4e-08,5.03171e-07,1.8278e-15
4e-08,5.01429e-07,1.76183e-15
4e-08,4.99698e-07,1.70524e-15
4e-08,4.97979e-07,1.6572e-15
4e-08,4.96272e-07,1.61687e-15
4e-08,4.94577e-07,1.58343e-15
4e-08,4.92894e-07,1.55625e-15
4e-08,4.91221e-07,1.53489e-15
4e-08,4.8956e-07,1.51906e-15
4e-08,4.87911e-07,1.50861e-15
4e-08,4.86272e-07,1.50343e-15
4e-08,4.84644e-07,1.50339e-15
4e-08,4.83028e-07,1.50828e-15
4e-08,4.81421e-07,1.51779e-15
4e-08,4.79826e-07,1.53148e-15
4e-08,4.78241e-07,1.54883e-15
4e-08,4.76667e-07,1.56926e-15
4e-08,4.75103e-07,1.59222e-15
4e-08,4.73549e-07,1.61723e-15
4e-08,4.72005e-07,1.64392e-15
4e-08,4.70471e-07,1.67211e-15
4e-08,4.68947e-07,1.70172e-15
4e-08,4.67433e-07,1.73284e-15
4e-08,4.65929e-07,1.76561e-15
4e-08,4.64435e-07,1.80023e-15
4e-08,4.6295e-07,1.83684e-15
4e-08,4.61474e-07,1.87551e-15
4e-08,4.60008e-07,1.9162e-15
4e-08,4.58551e-07,1.95873e-15
4e-08,4.57103e-07,2.00282e-15
4e-08,4.55665e-07,2.04813e-15
4e-08,4.54235e-07,2.09428e-15
4e-08,4.52815e-07,2.14096e-15
4e-08,4.51403e-07,2.18789e-15
4e-08,4.5e-07,2.23496e-15
4.08081e-08,6.5e-07,7.76353e-16
4.08081e-08,6.47095e-07,8.00414e-16
4.08081e-08,6.44216e-07,8.25553e-16
4.08081e-08,6.41362e-07,8.51845e-16
4.08081e-08,6.38534e-07,8.79344e-16
4.08081e-08,6.3573e-07,9.08081e-16
4.08081e-08,6.32951e-07,9.38068e-16
4.08081e-08,6.30196e-07,9.69308e-16
4.08081e-08,6.27465e-07,1.00181e-15
4.08081e-08,6.24757e-07,1.03559e-15
4.08081e-08,6.22073e-07,1.07071e-15
4.08081e-08,6.19412e-07,1.10727e-15
4.08081e-08,6.16773e-07,1.14538e-15
4.08081e-08,6.14157e-07,1.18522e-15
4.08081e-08,6.11563e-07,1.22699e-15
4.08081e-08,6.08991e-07,1.2709e-15
4.08081e-08,6.0644e-07,1.31716e-15
4.08081e-08,6.0391e-07,1.36595e-15
4.08081e-08,6.01402e-07,1.41743e-15
4.08081e-08,5.98914e-07,1.47173e-15
4.08081e-08,5.96447e-07,1.52891e-15
4.08081e-08,5.94e-07,1.58904e-15
4.08081e-08,5.91573e-07,1.65218e-15
4.08081e-08,5.89166e-07,1.7184e-15
4.08081e-08,5.86778e-07,1.78783e-15
4.08081e-08,5.8441e-07,1.86068e-15
4.08081e-08,5.8206e-07,1.93727e-15
4.08081e-08,5.7973e-07,2.018e-15
4.08081e-08,5.77418e-07,2.10338e-15
4.08081e-08,5.75124e-07,2.19399e-15
4.08081e-08,5.72849e-07,2.2904e-15
4.08081e-08,5.70591e-07,2.39312e-15
4.08081e-08,5.68351e-07,2.50251e-15
4.08081e-08,5.66129e-07,2.61871e-15
4.08081e-08,5.63924e-07,2.74148e-15
4.08081e-08,5.61736e-07,2.8702e-15
4.08081e-08,5.59565e-07,3.00376e-15
4.08081e-08,5.57411e-07,3.14055e-15
4.08081e-08,5.55273e-07,3.27842e-15
4.08081e-08,5.53152e-07,3.4148e-15
4.08081e-08,5.51047e-07,3.54672e-15
4.08081e-08,5.48957e-07,3.67093e-15
4.08081e-08,5.46884e-07,3.78408e-15
4.08081e-08,5.44826e-07,3.88285e-15
4.08081e-08,5.42784e-07,3.96416e-15
4.08081e-08,5.40756e-07,4.02532e-15
4.08081e-08,5.38744e-07,4.06416e-15
4.08081e-08,5.36747e-07,4.07921e-15
4.08081e-08,5.34765e-07,4.06975e-15
4.08081e-08,5.32797e-07,4.03585e-15
4.08081e-08,5.30843e-07,3.9784e-15
4.08081e-08,5.28904e-07,3.89902e-15
4.08081e-08,5.26979e-07,3.80001e-15
4.08081e-08,5.25068e-07,3.6842e-15
4.08081e-08,5.23171e-07,3.55481e-15
4.08081e-08,5.21287e-07,3.41532e-15
4.08081e-08,5.19417e-07,3.26925e-15
4.08081e-08,5.1756e-07,3.12006e-15
4.08081e-08,5.15717e-07,2.97099e-15
4.08081e-08,5.13886e-07,2.82496e-15
4.08081e-08,5.12069e-07,2.68446e-15
4.08081e-08,5.10264e-07,2.55156e-15
4.08081e-08,5.08472e-07,2.42782e-15
4.08081e-08,5.06693e-07,2.31436e-15
4.08081e-08,5.04926e-07,2.21187e-15
4.08081e-08,5.03171e-07,2.12062e-15
4.08081e-08,5.01429e-07,2.04061e-15
4.08081e-08,4.99698e-07,1.97153e-15
4.08081e-08,4.97979e-07,1.91292e-15
4.08081e-08,4.96272e-07,1.86416e-15
4.08081e-08,4.94577e-07,1.82459e-15
4.08081e-08,4.92894e-07,1.79349e-15
4.08081e-08,4.91221e-07,1.77015e-15
4.08081e-08,4.8956e-07,1.7539e-15
4.08081e-08,4.87911e-07,1.7441e-15
4.08081e-08,4.86272e-07,1.74016e-15
4.08081e-08,4.84644e-07,1.74156e-15
4.08081e-08,4.83028e-07,1.74782e-15
4.08081e-08,4.81421e-07,1.75851e-15
4.08081e-08,4.79826e-07,1.77325e-15
4.08081e-08,4.78241e-07,1.7917e-15
4.08081e-08,4.76667e-07,1.81357e-15
4.08081e-08,4.75103e-07,1.83859e-15
4.08081e-08,4.73549e-07,1.86653e-15
4.08081e-08,4.72005e-07,1.89717e-15
4.08081e-08,4.70471e-07,1.93033e-15
4.08081e-08,4.68947e-07,1.96584e-15
4.08081e-08,4.67433e-07,2.00355e-15
4.08081e-08,4.65929e-07,2.04333e-15
